,price,Position,combinedForecast,Profit&Loss,Profit&Loss
1981-09-25,734.5,0.0,,,
1981-09-28,735.5,0.0,0.0,0.0,0.0
1981-09-29,740.5,0.0,0.0,0.0,0.0
1981-09-30,742.5,0.0,0.0,0.0,0.0
1981-10-01,741.75,0.0,0.0,0.0,0.0
1981-10-02,743.25,0.0,0.0,0.0,0.0
1981-10-05,747.75,0.0,0.0,0.0,0.0
1981-10-06,745.75,0.0,0.0,0.0,0.0
1981-10-07,744.25,0.0,0.0,0.0,0.0
1981-10-08,743.25,0.0,0.0,0.0,0.0
1981-10-09,745.5,0.0,0.06927180747063379,-0.0018217661043098473,-0.0018217661043098473
1981-10-12,747.75,0.0,0.15963305312192388,-0.0033397278440691885,-0.0051614939483790355
1981-10-13,751.5,0.0,0.29072368889602124,-0.004623993942600205,-0.00978548789097924
1981-10-14,752.75,0.0,0.4758374182572319,-0.005724642061336976,-0.015510129952316216
1981-10-15,748.0,0.0,0.42698118568888704,-0.00667839582045382,-0.022188525772770036
1981-10-16,746.0,0.0,0.44273974821783346,-0.007512797936757954,-0.02970132370952799
1981-10-19,747.0,0.0,0.49035358847924393,-0.008248910489384646,-0.037950234198912636
1981-10-20,744.5,0.0,0.4491983937211346,-0.008903115096927282,-0.04685334929583992
1981-10-21,745.25,0.0,0.44813313003004374,-0.009488344617578894,-0.05634169391341881
1981-10-22,743.0,0.0,0.36597100561308116,-0.010014945339231182,-0.06635663925265
1981-10-23,746.0,0.0,0.36870308224936704,-0.01049129282954521,-0.0768479320821952
1981-10-26,745.25,0.0,0.36248942055055405,-0.010924239826911819,-0.08777217190910702
1981-10-27,746.5,0.0,0.397352057096516,-0.011319447290291898,-0.09909161919939892
1981-10-28,748.25,0.0,0.4896991238276349,-0.01168163268659654,-0.11077325188599546
1981-10-29,746.5,0.0,0.4995299632730516,-0.012014758689095933,-0.1227880105750914
1981-10-30,746.25,0.0,0.5125344670700533,-0.012322178330041456,-0.13511018890513285
1981-11-02,747.0,0.0,0.5569661687974929,-0.012606747897149606,-0.14771693680228246
1981-11-03,744.75,0.0,0.4730101947472133,-0.012870915637982094,-0.16058785244026455
1981-11-04,742.75,0.0,0.3128198740411598,-0.013116792111695585,-0.17370464455196014
1981-11-05,742.5,0.0,0.16234121703002508,-0.013346206470441407,-0.18705085102240154
1981-11-06,740.25,0.0,-0.09306370183244152,-0.01356075184759109,-0.20061160286999263
1981-11-09,739.25,0.0,-0.38015360746893084,-0.013761822235669713,-0.21437342510566235
1981-11-10,735.0,0.0,-0.7910927355274995,-0.013950642659210116,-0.22832406776487246
1981-11-11,734.75,0.0,-1.2298450662399574,-0.014128294022986126,-0.2424523617878586
1981-11-12,737.5,0.0,-1.3879802961066954,-0.014295733700548346,-0.25674809548840694
1981-11-13,735.75,0.0,-1.6880208365497735,-0.014453812691337387,-0.2712019081797443
1981-11-16,734.0,0.0,-2.059981790828281,-0.014603289995562485,-0.2858051981753068
1981-11-17,731.0,0.0,-2.4929590598389124,-0.014744844719362438,-0.30055004289466924
1981-11-18,729.5,0.0,-3.0525483106081692,-0.01487908631763385,-0.3154291292123031
1981-11-19,731.0,0.0,-3.3814498485033053,-0.015006563300435594,-0.3304356925127387
1981-11-20,731.0,0.0,-3.7758495527662497,-0.015127770665284757,-0.34556346317802344
1981-11-23,726.0,0.0,-3.919076129778513,-0.015243156267696178,-0.3608066194457196
1981-11-24,720.0,0.0,-4.196624903326546,-0.015353126302809661,-0.3761597457485293
1981-11-25,718.5,0.0,-5.021914958948413,-0.015458050039522164,-0.39161779578805145
1981-11-26,,0.0,-5.054471820989103,-0.01555826392340287,-0.4071760597114543
1981-11-27,716.5,0.0,-5.879657769700939,-0.015654075144444723,-0.42283013485589904
1981-11-30,714.0,0.0,-6.877854892601949,-0.015745764749358793,-0.43857589960525784
1981-12-01,717.0,0.0,-6.945917170665818,-0.015833590364831784,-0.4544094899700896
1981-12-02,716.25,0.0,-7.635730021700991,-0.015917788587323234,-0.47032727855741285
1981-12-03,715.5,0.0,-8.318904698954151,-0.01599857708608693,-0.4863258556434998
1981-12-04,717.0,0.0,-8.565211606345676,-0.016076156458778634,-0.5024020121022784
1981-12-07,710.5,0.0,-8.058283300918362,-0.01615071187295436,-0.5185527239752328
1981-12-08,707.25,0.0,-8.783479208782566,-0.016222414521739115,-0.5347751384969719
1981-12-09,703.0,0.0,-9.472224490712348,-0.01629142291775465,-0.5510665614147265
1981-12-10,696.0,0.0,-9.593756354263087,-0.016357884045891558,-0.5674244454606181
1981-12-11,699.25,0.0,-9.660219557451972,-0.01642193439256945,-0.5838463798531875
1981-12-14,693.75,0.0,-10.20896012377763,-0.016483700866654627,-0.6003300807198422
1981-12-15,688.5,0.0,-10.999144687952366,-0.016543301625110085,-0.6168733823449523
1981-12-16,694.25,0.0,-10.088994797068155,-0.016600846814681103,-0.6334742291596334
1981-12-17,698.5,0.0,-9.796251066973841,-0.01665643923941207,-0.6501306683990454
1981-12-18,695.5,0.0,-10.23861137465263,-0.016710174962506374,-0.6668408433615518
1981-12-21,693.25,0.0,-10.79491570169548,-0.01676214384994157,-0.6836029872114934
1981-12-22,694.0,0.0,-11.190569764267005,-0.016812430062311146,-0.7004154172738045
1981-12-23,691.75,0.0,-11.733683039627342,-0.016861112500556996,-0.7172765297743615
1981-12-24,696.5,0.0,-11.04539583961104,-0.01690826521055655,-0.7341847949849181
1981-12-25,,0.0,-11.075244685075477,-0.016953957750929893,-0.751138752735848
1981-12-28,705.25,0.0,-10.595020545295494,-0.016998255527908568,-0.7681370082637565
1981-12-29,701.5,0.0,-10.47744500479646,-0.017041220100656673,-0.7851782283644132
1981-12-30,702.0,0.0,-10.485454862493647,-0.01708290946004354,-0.8022611378244567
1981-12-31,703.0,0.0,-10.401299876251908,-0.017123378283520174,-0.8193845161079769
1982-01-01,,0.0,-10.425171911405902,-0.017162678168457957,-0.8365471942764349
1982-01-04,704.75,0.0,-10.005743614655945,-0.017200857846041417,-0.8537480521224763
1982-01-05,702.5,0.0,-10.052506953167828,-0.01723796337758199,-0.8709860155000583
1982-01-06,706.0,0.0,-9.353511387600921,-0.017274038334913033,-0.8882600538349713
1982-01-07,706.0,0.0,-9.270607311674723,-0.017309123966354645,-0.905569177801326
1982-01-08,702.5,0.0,-9.165752571818205,-0.017343259349574813,-0.9229124371509008
1982-01-11,700.25,0.0,-9.36978501110447,-0.017376481532539678,-0.9402889186834404
1982-01-12,699.25,0.0,-9.681112785502954,-0.017408825663622007,-0.9576977443470625
1982-01-13,699.25,0.0,-9.944868554042468,-0.017440325111827137,-0.9751380694588896
1982-01-14,699.0,0.0,-10.222684219306696,-0.017471011578002682,-0.9926090810368923
1982-01-15,698.0,0.0,-10.559792604285775,-0.01750091519780994,-1.0101099962347022
1982-01-18,700.25,0.0,-10.320284924362385,-0.01753006463716056,-1.0276400608718628
1982-01-19,697.25,0.0,-10.426222621219782,-0.0175584871807557,-1.0451985480526185
1982-01-20,698.25,0.0,-10.547765208625458,-0.017586208814299065,-1.0627847568669175
1982-01-21,701.5,0.0,-9.929003936785925,-0.01761325430090732,-1.0803980111678249
1982-01-22,702.5,0.0,-9.820787246028416,-0.01763964725219047,-1.0980376584200153
1982-01-25,699.75,0.0,-9.739336748277248,-0.017665410194428244,-1.1157030686144436
1982-01-26,701.75,0.0,-9.511943745046569,-0.01769056463023655,-1.1333936332446801
1982-01-27,707.25,0.0,-8.059291396615246,-0.017715131096075254,-1.1511087643407554
1982-01-28,705.25,0.0,-7.800235853025652,-0.01773912921592169,-1.168847893556677
1982-01-29,709.0,0.0,-7.07301972238376,-0.01776257775140766,-1.1866104713080847
1982-02-01,715.0,0.0,-5.755046297277021,-0.017785494648683065,-1.2043959659567678
1982-02-02,714.5,0.0,-5.2241831523300375,-0.017807897082259716,-1.2222038630390275
1982-02-03,714.5,0.0,-4.751040012121127,-0.0178298014960534,-1.240033664535081
1982-02-04,715.0,0.0,-4.291343070212787,-0.017851223641836667,-1.2578848881769176
1982-02-05,712.5,0.0,-3.9058287230183364,-0.01787217861528534,-1.275757066792203
1982-02-08,709.0,0.0,-3.6997012728121472,-0.017892680889798118,-1.293649747682001
1982-02-09,707.75,0.0,-3.732043143466223,-0.01791274434824386,-1.3115624920302449
1982-02-10,711.0,0.0,-3.4526660095693655,-0.017932382312785933,-1.3294948743430308
1982-02-11,710.5,0.0,-3.3496850736035375,-0.017951607572914918,-1.3474464819159457
1982-02-12,709.25,0.0,-3.317545630549005,-0.01797043241181928,-1.365416914327765
1982-02-15,,0.0,-3.3209491657369883,-0.01798886863120197,-1.383405782958967
1982-02-16,708.75,0.0,-3.2460052209933137,-0.01800692757465283,-1.4014127105336198
1982-02-17,709.25,0.0,-3.241461178341361,-0.01802462014967232,-1.4194373306832921
1982-02-18,708.25,0.0,-3.3005072156922473,-0.018041956848436902,-1.437479287531729
